n,delta,kappa,cp_gap,risk_gap,nc,cp_ols,cp_ridge,risk_ols,risk_ridge
50.0,1.0,2.0776880911120137,-0.47687101115505115,1.1934536464393464,12.0,6.893659107022439,7.3705301181774905,3.7031107864791206,2.5096571400397742
50.0,1.0,4.972812628792496,-0.8738691236873279,1.294508615696624,12.0,7.030175064100595,7.904044187787923,5.185970842428946,3.8914622267323224
50.0,0.0,1.7606076531698696,0.24400800728154337,1.1399123413248486,12.0,5.550215585523176,5.306207578241633,4.7065058285605375,3.566593487235689
50.0,0.0,1.7993325309929125,-0.28874000166298064,-0.3697829463830584,12.0,6.995832329142378,7.284572330805359,2.6100781922943757,2.979861138677434
50.0,1.0,1.5389611026513395,0.284109525957593,-0.037322630435078,12.0,7.160939421107615,6.876829895150022,2.6018529114255817,2.6391755418606597
50.0,0.0,1.927813794418103,0.36672837637314526,0.9341489448500964,12.0,7.073129665371732,6.7064012889985865,4.076691735403489,3.1425427905533923
50.0,0.0,1.2926959377127218,0.19198557463622468,0.6436394622591175,12.0,5.348528918990597,5.156543344354373,2.6809318813161442,2.0372924190570267
50.0,0.0,0.9833334857338683,0.16386893310836825,0.3606662308714068,12.0,6.074601904377228,5.910732971268859,2.1895202833859138,1.828854052514507
50.0,0.0,2.1346734892671875,0.26378168251569356,0.6796176755974621,12.0,4.397108163819659,4.133326481303966,2.43689094252901,1.7572732669315478
50.0,0.0,3.253284957844327,0.4348835955176691,0.5603285267562081,12.0,4.601392222248606,4.166508626730937,2.0576799324523027,1.4973514056960946
50.0,0.0,7.527885086420881,1.2802413689287429,0.4990572596494318,12.0,8.154584574138697,6.8743432052099545,3.4222269972703363,2.9231697376209045
50.0,0.0,8.431089357127933,1.1757885276340554,0.1672595142548361,12.0,7.5478739680320075,6.372085440397952,3.7068342728207995,3.5395747585659634
50.0,0.0,1.4675610935838204,0.14055112000930947,0.19165477631662498,12.0,4.168878448555837,4.028327328546528,3.1466776479470777,2.9550228716304527
50.0,0.0,1.3688279948809614,0.2856545114908142,2.4069477950609723,12.0,5.470880190775962,5.185225679285148,10.509091978102235,8.102144183041263
50.0,1.0,1.6866106996821661,0.2305592087381596,-0.3169422549718419,12.0,3.905970797753587,3.6754115890154275,2.793820473338901,3.110762728310743
50.0,0.0,0.29298182379839516,0.031006363651871816,0.1365387441414394,12.0,5.572414386984022,5.54140802333215,3.204849583839481,3.0683108396980416
50.0,1.0,1.5371543154485887,-0.3126807156633822,0.19622733774867473,12.0,5.588846466558135,5.901527182221518,7.403752903039123,7.207525565290449
50.0,1.0,5.497733992062344,-0.589424136996088,0.626395569535362,12.0,3.7306282289671793,4.320052365963267,3.191074265095466,2.564678695560104
50.0,1.0,7.689750183247343,1.4739662725941045,-0.2375138469117659,12.0,5.969459055632526,4.495492783038421,3.5272735332356167,3.7647873801473826
50.0,0.0,1.1129980981474024,0.19301980639987892,0.3475733640280576,12.0,6.017742811602341,5.824723005202462,4.0256549511287885,3.678081587100731
50.0,0.0,13.554086881856803,3.2110287608621126,0.9793283403019983,12.0,9.269526172034615,6.058497411172502,3.6573057583105117,2.6779774180085134
50.0,0.0,3.2115026370829494,-0.42010676138886227,-0.09693551273234657,12.0,3.3163403668217337,3.736447128210596,3.6135275310889114,3.710463043821258
50.0,1.0,2.842604487327443,-0.6371928209093936,0.9614681124432982,12.0,3.19773492462562,3.8349277455350137,3.956040680206446,2.994572567763148
